mann,expansion_coeff,alpha_method,sf_method,max_abs,mean_abs,rmse
1.52,0.02,conveyance,avg,1.7560946217402034,0.8796176268603176,1.1163912935833697
1.52,0.02,area,combined,2.1706664018182664,1.0454466414291346,1.3363345460831753
1.52,0.02,area,avg,1.7560946219272182,0.8796176270099295,1.1163912937295923
1.52,0.05,conveyance,combined,2.2059224007268767,1.0595490409925787,1.3557324263453905
1.52,0.05,conveyance,avg,1.7560946233984396,0.8796176281869066,1.116391294879907
1.52,0.05,area,combined,2.2157784746100333,1.0634914705458414,1.3611711347283144
1.52,0.05,area,avg,1.756094623590684,0.8796176283407021,1.1163912950302186
1.52,0.1,conveyance,combined,1.3996500655841828,0.44663808851432807,0.6675487100590152
1.52,0.1,conveyance,avg,1.7560946261563686,0.8796176303932498,1.1163912970362693
1.52,0.1,area,combined,1.3996500655841828,0.44663808851432807,0.667170826710564
1.52,0.1,area,avg,1.7560946263571395,0.8796176305538665,1.1163912971932475
1.54,0.0,conveyance,combined,2.17557958024895,1.0589094220676771,1.3435705873118011
1.54,0.0,conveyance,avg,1.7752571500375325,0.8987801525869372,1.131551199875143
1.54,0.0,area,combined,2.1858965225171687,1.0630361989749644,1.3492222868162418
1.54,0.0,area,avg,1.775257150192374,0.8987801527108104,1.1315511999966859
1.54,0.02,conveyance,combined,2.2071923611662214,1.0715545344345856,1.360913020659192
1.54,0.02,conveyance,avg,1.775257151163487,0.8987801534877008,1.131551200758961
1.54,0.02,area,combined,2.217141319876191,1.0755341179185733,1.3663859002678036
1.54,0.02,area,avg,1.7752571513212843,0.8987801536139386,1.1315512008828241
1.54,0.05,conveyance,combined,2.250041217066837,1.0886940767948317,1.384533577120952
1.54,0.05,conveyance,avg,1.7752571528501448,0.8987801548370271,1.1315512020829033
1.54,0.05,area,combined,2.2595636285296905,1.0925030413799732,1.389800079616794
1.54,0.05,area,avg,1.7752571530122623,0.898780154966721,1.1315512022101573
1.54,0.1,conveyance,combined,1.4188125810279644,0.458135597780597,0.6745514516960279
1.54,0.1,conveyance,avg,1.7752571556545718,0.8987801570805687,1.131551204284238
